cluster,The Barbecue Chicken Pizza,The Big Meat Pizza,The California Chicken Pizza,The Classic Deluxe Pizza,The Hawaiian Pizza,The Italian Supreme Pizza,The Pepperoni Pizza,The Sicilian Pizza,The Southwest Chicken Pizza,The Thai Chicken Pizza,The Vegetables + Vegetables Pizza
0,0,0,0,1,0,0,1,0,0,1,0
1,1,0,1,0,0,0,1,0,0,0,0
2,1,0,0,0,0,0,1,0,0,1,0
3,1,0,1,0,1,0,0,0,0,0,0
4,1,0,0,0,1,0,1,0,0,0,0
5,0,0,1,0,1,0,1,0,0,0,0
6,1,0,0,1,1,0,0,0,0,0,0
7,1,0,0,0,1,0,0,0,0,1,0
8,1,0,0,1,0,0,1,0,0,0,0
9,0,0,0,1,1,0,0,0,0,1,0
10,1,0,0,1,1,0,0,0,0,0,0
11,1,0,0,1,1,0,0,0,0,0,0
12,1,0,1,0,0,0,1,0,0,0,0
13,1,0,0,1,0,0,1,0,0,0,0
14,1,0,0,0,0,1,1,0,0,0,0
15,1,0,1,0,0,1,0,0,0,0,0
16,0,0,1,0,1,0,0,1,0,0,0
17,0,0,1,1,0,0,0,0,0,1,0
18,0,0,0,1,0,0,1,0,0,1,0
19,1,0,1,0,0,0,1,0,0,0,0
20,0,0,0,1,1,0,0,0,0,1,0
21,0,0,1,1,1,0,0,0,0,0,0
22,0,0,1,1,0,0,1,0,0,0,0
23,0,0,0,1,1,0,1,0,0,0,0
24,1,0,0,0,0,0,1,0,0,1,0
25,0,0,0,1,0,0,1,0,0,1,0
26,0,0,1,0,1,0,1,0,0,0,0
27,1,0,0,1,0,0,1,0,0,0,0
28,0,0,0,0,1,0,0,0,1,1,0
29,0,0,0,1,0,0,1,0,0,1,0
30,0,0,1,1,0,0,1,0,0,0,0
31,0,0,1,0,1,0,1,0,0,0,0
32,0,0,0,1,1,0,0,0,0,1,0
33,0,0,1,1,1,0,0,0,0,0,0
34,0,0,1,1,1,0,0,0,0,0,0
35,0,1,0,1,0,0,0,0,0,1,0
36,0,0,1,1,0,0,0,0,0,0,1
